subject,condition,vignetteType,vignetteNumber,Start100,vignette,dummyConfidence,dummyXprob,dummyYprob,vignetteConfidence,vignetteXprob,vignetteYprob,gender,age,postQuestion1,postQuestion2
vn0k35yzvez,G8x,G,8,x,G8,3,90,10,2,50,50,female,26,correct,"I don't think either is more likely to like me just because I like them. However, I could be more flirtatious with the one I like, so it's possibly he likes me more. This uncertainty is why I put I wasn't totally confident with my answer."
du0b35yzi94,G1y,G,1,y,G1,3,85,15,1,5,95,male,37,correct,"$1000 is a nice chunk of change, so I expect the likelihood of drawing a winning red ball to be quite low!"
chm535yz8nr,G3y,G,3,y,G3,3,90,10,0,50,50,female,32,correct,"I chose the answer I did because I viewed the question as a statistical about which one is more likely to be the one that is heavily financed.  Since I didn't have any information that would favor one or the other, I thought that from the viewpoint of having no information for the odds would mean it could go 50-50 from my viewpoint.  At first, I thought the question was asking what was the likelihood that one department would be favored over the odd and I answered 40% that one department would be heavily financed versus 60% that one department would not be heavily financed because I know that bosses lie for their own benefit a lot, however, after re-reading the question I decided that the question was actually asking what I outlined previously (first) in this paragraph.  However, I did find the question a little confusing, and I'm not sure I actually understood the question the way I was supposed to, so that is why I said I had no confidence in my answer."
akzh35yz4a2,G4x,G,4,x,G4,4,90,10,3,50,50,female,57,correct,"There were only two options, and each one had an equal chance of being chosen."
7nsi35yzu4c,L1x,L,1,x,L1,3,88,12,0,66,34,female,31,correct,NA
3pix35yz40m,L1y,L,1,y,L1,4,81,19,3,51,49,female,35,correct,NA
zxea35yziu7,G8x,G,8,x,G8,4,95,5,2,50,50,female,27,correct,NA
h7mr35yzw5g,L7x,L,7,x,L7,3,70,30,3,50,50,male,38,correct,"There was no possible way to identify the species of the insect, hence I opted for an 50:50 ratio."
1q3s35yz2sx,L9x,L,9,x,L9,3,85,15,2,50,50,female,41,correct,"I have no information about the two viruses, other than that they cannot coexist in the computer.  Without any information about how common either virus is or symptoms on my computer that relate to one or the other, I figure it's a 50-50 chance whether I have one or the other."
pamy35yzhg6,G10x,G,10,x,G10,4,99,1,3,50,50,female,63,correct,"Well, I was told my crush would attend one of the parties, so there was a 50/50 chance regarding which party."
d88n35yzo8g,G5y,G,5,y,G5,4,100,0,2,75,25,male,24,correct,NA
m8jp35yz3bi,G3y,G,3,y,G3,4,3,97,1,25,75,male,54,correct,I can only guess which department would be promoted by my boss which is rather indecisive. So I chose option Y as it might be heavily supported. Both departments have an equal chance; so 50-50 likely.
47qy35yz9cn,L7x,L,7,x,L7,3,50,50,2,25,75,male,37,correct,NA
hqm635yzt48,G2x,G,2,x,G2,3,89,11,2,47,53,male,45,correct,I just see nt with my gut feeling as there was no way I could do any reasoning for the answer.
awn135yz9ku,G11x,G,11,x,G11,4,99,1,3,98,2,female,72,correct,It would be hard to decide if the bird would be in x or y. I was thinking it could be in either x or y.
ihc435yz2he,G7y,G,7,y,G7,4,95,5,3,50,50,male,38,correct,NA
ldqv35yzr01,G7y,G,7,y,G7,3,90,10,2,50,50,female,42,correct,It wouldn't let me continue on to the next question until I chose a different answer.
fyqc35yzxl5,G11x,G,11,x,G11,3,95,5,2,50,50,female,43,correct,"There was no indication about whether the bird preferred one preserve over the other one, like how many times the bird was spotted in preserve X versus Y. So, I thought that the odds were just as likely that the bird could be in either one of them."
ieid35yzv6e,G9y,G,9,y,G9,3,85,15,3,90,10,female,49,correct,"I was thinking if both protocols work but on different people then either X or Y would work for me.  I almost set the slider to 50/50 because I would have a 50/50 chance of getting the one that worked, but the question asked what the percentage chance that one would significantly improve my performance.  Because they are mutually exclusive, I chose an almost certain chance that one would work while the other would not."
4xhy35yzcfj,G3x,G,3,x,G3,4,97,3,4,100,0,female,49,correct,It said the boss would support one department and not support the other so I put it at 100% amd 0%
c5ym35yzmkv,G6y,G,6,y,G6,3,90,10,1,50,50,male,29,correct,"Well it said I was reasonably certain that one company would receive the investor funding, but I wasn't sure which and without anymore information, I couldn't say which one would receive it for sure. As a result, I put 50/50"
o22x35yzima,L3x,L,3,x,L3,4,90,10,2,50,50,male,34,correct,NA
kch335yzklp,L4y,L,4,y,L4,3,80,20,1,50,50,male,32,correct,NA
0s5935yz996,G5x,G,5,x,G5,4,77,23,3,70,30,female,29,correct,NA
p2tk35yzyh5,L6y,L,6,y,L6,4,90,10,3,50,50,male,47,correct,There was really nothing to go on that would favor one branch over the other. That's why I made it 50/50.
3apq35yzep6,L6y,L,6,y,L6,4,10,90,3,50,50,male,50,correct,NA
bv6u35yznsp,G4y,G,4,y,G4,4,90,10,0,50,50,male,28,correct,NA
at5o35yzk4t,L11x,L,11,x,L11,4,95,5,3,75,25,female,36,correct,"There is a high likelihood my car was damaged, but because it has not been confirmed I cannot say for certain."
ofmm35yza7o,G4x,G,4,x,G4,3,98,2,2,50,50,male,32,correct,NA
nt9435yz8fe,L11y,L,11,y,L11,4,92,8,3,95,5,female,45,correct,"I believe that the news that a hailstorm hit the airport must be true, therefor there must be some damage."
wnhs35yzb6u,L5y,L,5,y,L5,3,90,10,0,50,50,female,38,correct,I really had no idea what the probability was that either stock would fall in value. So I figured I might as well say that both stocks had a 50/50 chance of falling in value.
n7f335yzb2j,G11y,G,11,y,G11,4,95,5,3,50,50,male,29,correct,NA
5mtw35yzr30,G8x,G,8,x,G8,3,82,18,2,47,53,female,33,correct,NA
581n35yzw7p,L1x,L,1,x,L1,3,90,10,1,45,55,male,47,correct,"I have a feeling that the number of ""bad"" choices will be slightly below 50%, but that's purely a guess on my part."
bn5l35yze8n,G2x,G,2,x,G2,4,95,5,2,50,50,male,30,correct,NA
uvcf35yzr10,G5x,G,5,x,G5,4,85,15,0,60,40,female,57,correct,I am not real confident about my knowledge of how the stock market works and based my answer on how much trust I would have in the stock broker.
a94y35yzo01,L7y,L,7,y,L7,4,95,5,0,50,50,male,46,correct,NA
y0cr35yzg2y,L4x,L,4,x,L4,3,94,6,3,22,78,female,32,incorrect,NA
8hs735yzb1o,L3x,L,3,x,L3,3,80,20,1,45,55,female,32,correct,NA
swgn35yzx7s,L4x,L,4,x,L4,3,93,7,2,50,50,female,51,correct,"They had not decided which one to discontinue, and there was no known probability for which would be discontinued. Not knowing, I chose 50/50. Since I have no knowledge, I chose 'somewhat confident,' as I have no additional information."
6y5l35yzg9f,G6y,G,6,y,G6,2,80,20,0,50,50,male,28,correct,"I had no information about either company (e.g. that one is more popular or doing better than the other). So the best guess I can possibly have is a 50/50 split.

I have a background in statistics. So I'm not one of the people who will say things like ""I have a 50/50 chance of winning the lottery because it either happens or it doesn't."" I just know I can't do any better with the information provided."
bgv835yzkor,L1x,L,1,x,L1,4,90,10,0,50,50,female,24,correct,NA
