subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob
irh135yzky2,man,36,15,20to40k,3,86,14,1,L1,2,50,50
irh135yzky2,man,36,15,20to40k,3,86,14,2,L2,2,55,45
irh135yzky2,man,36,15,20to40k,3,86,14,3,L5,2,48,52
irh135yzky2,man,36,15,20to40k,3,86,14,4,L11,2,67,33
irh135yzky2,man,36,15,20to40k,3,86,14,5,G11,1,55,45
irh135yzky2,man,36,15,20to40k,3,86,14,6,L10,1,34,66
irh135yzky2,man,36,15,20to40k,3,86,14,7,G5,1,30,70
irh135yzky2,man,36,15,20to40k,3,86,14,8,G1,2,49,51
irh135yzky2,man,36,15,20to40k,3,86,14,9,G2,2,37,63
irh135yzky2,man,36,15,20to40k,3,86,14,10,G9,1,38,62
kh3x35yz7am,man,32,12,20to40k,4,85,15,1,L10,2,50,50
kh3x35yz7am,man,32,12,20to40k,4,85,15,2,L5,2,50,50
kh3x35yz7am,man,32,12,20to40k,4,85,15,3,G2,3,30,70
kh3x35yz7am,man,32,12,20to40k,4,85,15,4,G9,4,50,50
kh3x35yz7am,man,32,12,20to40k,4,85,15,5,L1,3,70,30
kh3x35yz7am,man,32,12,20to40k,4,85,15,6,L11,2,45,55
kh3x35yz7am,man,32,12,20to40k,4,85,15,7,G5,3,50,50
kh3x35yz7am,man,32,12,20to40k,4,85,15,8,L2,3,70,30
kh3x35yz7am,man,32,12,20to40k,4,85,15,9,G1,3,30,70
kh3x35yz7am,man,32,12,20to40k,4,85,15,10,G11,3,60,40
dd2e35yzhpg,man,64,19,<20k,3,85,15,1,G5,2,60,40
dd2e35yzhpg,man,64,19,<20k,3,85,15,2,G1,4,50,50
dd2e35yzhpg,man,64,19,<20k,3,85,15,3,L10,3,50,50
dd2e35yzhpg,man,64,19,<20k,3,85,15,4,L11,2,25,75
dd2e35yzhpg,man,64,19,<20k,3,85,15,5,G2,3,20,80
dd2e35yzhpg,man,64,19,<20k,3,85,15,6,G9,3,50,50
dd2e35yzhpg,man,64,19,<20k,3,85,15,7,G11,3,50,50
dd2e35yzhpg,man,64,19,<20k,3,85,15,8,L5,3,50,50
dd2e35yzhpg,man,64,19,<20k,3,85,15,9,L1,2,1,99
dd2e35yzhpg,man,64,19,<20k,3,85,15,10,L2,4,2,98
8sle35yzcxf,man,30,12,40to60K,3,85,15,1,G2,2,60,40
8sle35yzcxf,man,30,12,40to60K,3,85,15,2,L1,2,60,40
8sle35yzcxf,man,30,12,40to60K,3,85,15,3,L5,1,50,50
8sle35yzcxf,man,30,12,40to60K,3,85,15,4,L10,2,35,65
8sle35yzcxf,man,30,12,40to60K,3,85,15,5,G11,3,50,50
8sle35yzcxf,man,30,12,40to60K,3,85,15,6,L11,2,80,20
8sle35yzcxf,man,30,12,40to60K,3,85,15,7,L2,1,35,65
8sle35yzcxf,man,30,12,40to60K,3,85,15,8,G1,2,45,55
8sle35yzcxf,man,30,12,40to60K,3,85,15,9,G9,1,60,40
8sle35yzcxf,man,30,12,40to60K,3,85,15,10,G5,2,50,50
pgtn35yz0wx,man,51,12,20to40k,4,45,55,1,G2,3,30,70
pgtn35yz0wx,man,51,12,20to40k,4,45,55,2,L11,3,85,15
pgtn35yz0wx,man,51,12,20to40k,4,45,55,3,G5,2,47,53
pgtn35yz0wx,man,51,12,20to40k,4,45,55,4,L10,3,25,75
pgtn35yz0wx,man,51,12,20to40k,4,45,55,5,L1,3,10,90
pgtn35yz0wx,man,51,12,20to40k,4,45,55,6,L2,3,85,15
pgtn35yz0wx,man,51,12,20to40k,4,45,55,7,G9,3,50,50
pgtn35yz0wx,man,51,12,20to40k,4,45,55,8,L5,2,52,48
pgtn35yz0wx,man,51,12,20to40k,4,45,55,9,G11,3,52,48
pgtn35yz0wx,man,51,12,20to40k,4,45,55,10,G1,3,50,50
5lox35yzbqd,man,50,17,20to40k,4,100,0,1,L11,1,0,100
5lox35yzbqd,man,50,17,20to40k,4,100,0,2,L5,1,100,0
5lox35yzbqd,man,50,17,20to40k,4,100,0,3,L2,3,0,100
5lox35yzbqd,man,50,17,20to40k,4,100,0,4,G11,2,100,0
