subject,gender,age,education,income,dummyVignetteAnswer,trialn,vignette,response,resp_order
0uq335yzeee,woman,32,12,<20k,7,1,G5,4,B
0uq335yzeee,woman,32,12,<20k,7,2,G1,1,A
0uq335yzeee,woman,32,12,<20k,7,3,L2,4,A
0uq335yzeee,woman,32,12,<20k,7,4,G9,4,A
0uq335yzeee,woman,32,12,<20k,7,5,L5,4,B
0uq335yzeee,woman,32,12,<20k,7,6,L11,4,B
0uq335yzeee,woman,32,12,<20k,7,7,L1,7,B
0uq335yzeee,woman,32,12,<20k,7,8,L10,4,B
0uq335yzeee,woman,32,12,<20k,7,9,G2,4,B
0uq335yzeee,woman,32,12,<20k,7,10,G11,4,B
ti0h35yz4cw,woman,62,18,60to80k,7,1,G5,4,B
ti0h35yz4cw,woman,62,18,60to80k,7,2,L2,4,B
ti0h35yz4cw,woman,62,18,60to80k,7,3,L11,2,B
ti0h35yz4cw,woman,62,18,60to80k,7,4,G1,6,A
ti0h35yz4cw,woman,62,18,60to80k,7,5,G9,2,A
ti0h35yz4cw,woman,62,18,60to80k,7,6,L10,2,B
ti0h35yz4cw,woman,62,18,60to80k,7,7,G2,4,A
ti0h35yz4cw,woman,62,18,60to80k,7,8,L1,6,A
ti0h35yz4cw,woman,62,18,60to80k,7,9,L5,2,B
ti0h35yz4cw,woman,62,18,60to80k,7,10,G11,2,B
dc5k35yzgy2,woman,31,16,20to40k,7,1,G1,1,A
dc5k35yzgy2,woman,31,16,20to40k,7,2,L10,5,B
dc5k35yzgy2,woman,31,16,20to40k,7,3,L5,2,A
dc5k35yzgy2,woman,31,16,20to40k,7,4,G9,6,B
dc5k35yzgy2,woman,31,16,20to40k,7,5,L2,2,A
dc5k35yzgy2,woman,31,16,20to40k,7,6,G11,2,A
dc5k35yzgy2,woman,31,16,20to40k,7,7,L1,1,A
dc5k35yzgy2,woman,31,16,20to40k,7,8,L11,3,B
dc5k35yzgy2,woman,31,16,20to40k,7,9,G2,4,B
dc5k35yzgy2,woman,31,16,20to40k,7,10,G5,2,A
imwl35yz19c,woman,56,21,20to40k,7,1,L10,3,A
imwl35yz19c,woman,56,21,20to40k,7,2,G5,2,A
imwl35yz19c,woman,56,21,20to40k,7,3,L1,4,A
imwl35yz19c,woman,56,21,20to40k,7,4,L2,4,B
imwl35yz19c,woman,56,21,20to40k,7,5,G9,4,B
imwl35yz19c,woman,56,21,20to40k,7,6,L5,4,B
imwl35yz19c,woman,56,21,20to40k,7,7,G1,5,A
imwl35yz19c,woman,56,21,20to40k,7,8,G11,6,B
imwl35yz19c,woman,56,21,20to40k,7,9,G2,5,B
imwl35yz19c,woman,56,21,20to40k,7,10,L11,5,A
ngt135yz6y7,man,45,16,20to40k,3,1,L5,6,B
ngt135yz6y7,man,45,16,20to40k,3,2,L1,4,A
ngt135yz6y7,man,45,16,20to40k,3,3,G11,1,B
ngt135yz6y7,man,45,16,20to40k,3,4,G9,4,A
ngt135yz6y7,man,45,16,20to40k,3,5,L2,7,A
ngt135yz6y7,man,45,16,20to40k,3,6,G1,1,A
ngt135yz6y7,man,45,16,20to40k,3,7,L11,4,B
