SubjID,part1code,part2code,part2comment
1,053e35yzfpv,qeis35yzzb7,na
2,05gf35yzzzk,v4c235yzh7d,na
3,05vg35yzrtl,uh5135yz4zr,na
4,06gq35yzcd4,kt3u35yzf8n,na
5,0bu935yzuut,na,na
6,0e3d35yzba6,5afb35yz3i3,50 50 is a pretty good shot.
7,0f6c35yzrt1,tmzh35yzr2e,na
8,0s7d35yzgeh,g1bm35yzljv,na
9,18r635yzjwu,ol2m35yz5tz,na
10,1bgs35yz1fw,dl2o35yztro,i thought you guys would troll me by releasing part 2 of this study late on christmas eve. thanks for not doing that. it would have been a little bit funny though.
11,1ewa35yzmvv,uw5r35yzxlr,na
12,1f2v35yz98m,bjfu35yzlxx,na
13,1ffu35yz5ks,ho3i35yzgjo,na
14,1vtp35yzab7,4e2c35yzzky,na
15,1wwz35yzpea,v9zm35yzcu9,na
16,26uf35yzmrb,na,na
17,29zz35yza0u,l81l35yz5h4,na
18,2e0m35yzw0v,fuo035yzq2m,na
19,2go535yz058,doa635yzv22,na
20,2kzc35yzalg,z8zs35yznpa,na
21,2qil35yzuvu,vo8o35yzx10,na
22,2w3p35yzt0q,pagu35yzvag,"So here's what I took from this. I want certain odds unless it REALLY MATTERS, especially life and death. Then I will go with ambiguity. Thanks for the study."
23,33ip35yzrhv,uut435yz6qd,na
24,3as735yzotf,na,na
25,3emq35yzdng,70xw35yzujy,The instructions and questions were clear.  I experienced no problems with the study.
26,3eok35yzp40,zwzj35yzgx5,na
27,3iou35yzxhf,lqcy35yz89a,Everything was fine
28,3kv035yzurp,tc3i35yzgs1,Interesting; makes you think.
29,3vll35yztus,4f7f35yzysd,na
30,3xm135yzzea,8f9f35yzcix,na
31,47ks35yzy98,xhcn35yzboh,na
32,4eqr35yzybm,rf6s35yz2lr,na
33,4fvc35yz8j1,s3wn35yzlqx,na
34,4j0835yz8d5,1r3q35yzn6t,na
35,4uxh35yzb1g,koha35yzqrx,na
36,4zum35yz299,10y235yznax,na
37,52oe35yzuhi,cxg935yz7jy,na
38,56l635yzzrm,qshn35yzcua,none
39,59xp35yzczy,cnc835yz2m4,na
40,5b4d35yzf3u,h98t35yzcm3,none  ty
41,5e6735yzivn,luel35yzzi9,na
42,5j1b35yzcf4,jue935yzqgq,na
43,5jpn35yzr88,4e7i35yz8tz,na
44,5l7835yzf63,rmuc35yzod8,N/A
45,5lig35yzazu,n81s35yz183,na
46,5lox35yzbqd,x3ar35yzrb7,na
47,5q6q35yzb0h,ftwg35yzp52,na
48,5sue35yzsmh,32ro35yzq2m,na
49,5zza35yz9pc,avjg35yzuvp,na
50,61y535yz5ox,6zlo35yzw67,na
51,638t35yzjx3,na,na
52,65vk35yzv46,na,na
53,6f1w35yzemv,uf6535yzfp3,na
54,6njx35yzr9c,9ujy35yzk2d,na
55,71x335yztcm,2l2j35yzshx,na
56,7e0i35yzcdt,m6s335yz2pm,na
