"","subject","condition","vignetteType","vignetteNumber","answerOrder","vignette","dummyVignetteAnswer","vignetteAnswer","gender","age","postquestion1","postquestion2"
"1","o2lc35yzcpg","L3A","L","3","A","L3",7,2,"male",51,"correct","I prefer to know the specific odds"
"2","7emt35yz8gy","L8B","L","8","B","L8",7,-3,"female",35,"correct",NA
"3","go6e35yzl0i","L11B","L","11","B","L11",7,2,"male",49,"correct","I'd prefer to know the probability that each option would get discontinued. I was thinking 50/50 is better than not knowing the odds."
"4","pawc35yzk9o","G6A","G","6","A","G6",7,2,"female",24,"correct","The possibility percentage was the same for each answer but there was something about seeing the actual percentage that made the choice more appealing."
"5","rs7g35yz9py","L9B","L","9","B","L9",7,0,"female",42,"correct","With A it could be 50/50 as well so either one would have been an answer for me."
"6","7nql35yzygy","L7A","L","7","A","L7",7,2,"male",75,"correct","probably 50% situation rather than x%"
"7","kx9135yz6xs","L8B","L","8","B","L8",7,0,"female",50,"correct",NA
"8","dp5j35yz3yf","G1B","G","1","B","G1",7,1,"female",35,"correct","I would slightly prefer that the probabilities would be equal because if they weren't and I chose the 'wrong' one I feel like I would regret my choice more. With 50/50 it's a coin toss."
"9","21ls35yzp09","L10B","L","10","B","L10",7,2,"male",31,"correct",NA
"10","in3g35yzivh","G4A","G","4","A","G4",7,3,"male",42,"correct",NA
"11","hq6i35yzdby","G11B","G","11","B","G11",7,2,"male",37,"correct",NA
"12","hcbq35yzzwf","L2B","L","2","B","L2",7,-2,"male",41,"correct",NA
"13","l10835yz2j9","L9A","L","9","A","L9",7,0,"female",41,"correct","It seems like either could potentially be comparable (since B was unknown). It could also be more or less than A, so I chose the middle option."
"14","dl5j35yzwoa","G10B","G","10","B","G10",7,3,"male",34,"correct","I prefer situations where I know the exact statistics of the situation verses situations where the probabilities are unknown."
"15","lo0x35yzk19","G12A","G","12","A","G12",6,-2,"female",44,"correct","My reasoning was: With A, there's a 50% chance that it'll help, but then to me, that means there's a 50% chance that it won't. I'd therefore rather go with B that promises memory retention but with no guarantee of the percentage."
"16","vpf235yz055","G6A","G","6","A","G6",7,0,"female",48,"correct",NA
"17","dsde35yzkbw","L8B","L","8","B","L8",7,0,"male",37,"correct","It was a 50% shot either way"
"18","gz1s35yzd52","L10B","L","10","B","L10",7,0,"female",47,"correct","There wasn't any difference in choices in my opinion so I chose indifferent."
"19","qu5d35yzmzk","L5B","L","5","B","L5",7,-2,"female",50,"correct","I was thinking that is was best if I did not know which it was so that I would not worry about it."
"20","kpjd35yz4hy","G3A","G","3","A","G3",7,3,"female",38,"correct","I was thinking that with that option, there would be a 50/50 chance, which I would like better than the unknown percentage chance of the other option."
"21","ds4935yzypb","G4B","G","4","B","G4",7,-1,"male",27,"correct",NA
"22","ks3l35yz333","G5B","G","5","B","G5",7,2,"female",50,"correct","It seemed the logical choice to me"
"23","4frh35yzb9x","G7B","G","7","B","G7",7,0,"male",36,"correct",NA
"24","n28y35yzgjz","G1B","G","1","B","G1",7,0,"male",40,"correct",NA
"25","6vwv35yz7tv","G4B","G","4","B","G4",7,3,"male",49,"correct","I chose that answer, because there was at least a 50% chance that person X the one that I was interested in is interested in me. I like those odds, its much better than 49% or zero chance! :)"
"26","xbk235yzrpj","L5B","L","5","B","L5",7,-3,"female",33,"correct","I would rather not know the percentages if it was a 50/50 chance.  I would constantly wonder which it could be, whereas if I don't know the percentage I wouldn't focus as much on it."
"27","psid35yzn45","L11B","L","11","B","L11",7,0,"male",38,"correct",NA
"28","sghz35yzg8u","G3A","G","3","A","G3",7,0,"male",28,"correct","Because I truly was indifferent to both options. They both seemed equally appealing to me."
"29","2sf835yziek","G5B","G","5","B","G5",7,-3,"female",56,"correct","sure to get something"
"30","ut9i35yzs7r","G6B","G","6","B","G6",7,-1,"male",39,"correct","I think that I would slightly prefer to not have an even chance of my crush being at one party or the other. That way, regardless of the outcome I can feel free to blame or praise the odds for the result."
"31","qenw35yznkm","G11A","G","11","A","G11",7,2,"male",23,"correct","Knowing the probability makes me more comfortable"
"32","cm2035yzi1g","G6B","G","6","B","G6",7,0,"male",28,"correct","Because it would be a guessing game either way, I was indifferent to the possibilities that were presented."
"33","so6v35yz71w","G5B","G","5","B","G5",7,-2,"male",52,"correct",NA
"34","q6ca35yzn5l","G3B","G","3","B","G3",7,2,"female",33,"correct","I would prefer to know the odds beforehand, even if there was no way to know the outcome."
"35","9fpx35yzsr0","L11B","L","11","B","L11",7,0,"female",44,"correct","I think that both answers were equally undesirable as neither one would really help you to make a decision."
"36","rdxr35yzrte","G5B","G","5","B","G5",7,1,"male",55,"correct","I leaned toward option B because I figured a 50-50 chance was good even odds and the other may be very unbalanced."
"37","qsd635yz4im","G8B","G","8","B","G8",7,0,"female",29,"correct","Either way, to me, it would be the same outcome regardless of probability. Either it's X or Y."
"38","7nku35yz2rg","G6A","G","6","A","G6",6,0,"female",45,"correct","Its difficult to decide which option to be in so i will just follow fate."
"39","ktb035yzw6x","G3A","G","3","A","G3",7,0,"male",30,"correct",NA
"40","r90235yz85p","G2B","G","2","B","G2",7,-2,"female",56,"correct","I think since I had a 50/50 chance of selecting either employer, I preferred that the odds were the same that each company would get funding."
"41","rxva35yz3rw","L4A","L","4","A","L4",7,0,"male",44,"correct","The odds seemed to be about the same, so it was mostly pointless to choose..."
"42","fxf935yzfg3","L12B","L","12","B","L12",7,2,"female",55,"correct","I think I would like to know the percentages rather than it being ambiguous."
"43","5rg035yztlh","L10A","L","10","A","L10",6,2,"male",32,"correct",NA
"44","ihk135yz1lm","G5B","G","5","B","G5",7,2,"male",33,"correct","I chose option B because I feel as though there is a 50/50 chance and either direction would work wonderfully."
"45","nlqj35yzfy2","L8B","L","8","B","L8",7,-2,"male",39,"correct","I guess I felt a little better not having exact odds placed on it. I was thinking my odds might be 60 or 70 percent since no number was stated in that option. I felt like there was a higher chance my car did not get hit or at least I was trying to positively will it to be that way."
"46","lxen35yz47t","G1B","G","1","B","G1",7,2,"male",57,"correct","It simplifies everything. With the available information, there's no real way to make an intelligent decision on which stock to sell. A 50% chance for each one is simple, so I prefer that one."
"47","1ahb35yzpav","L10A","L","10","A","L10",7,2,"female",56,"correct","I preferred the 50-50 odds."
"48","vclj35yz90g","L10A","L","10","A","L10",7,0,"female",43,"correct","I thought about which option would be beneficial to me.  So for the first question, I chose the house that was on a hill, that way I wouldn't get flooded.  In the second, neither option really would change my outcome."
"49","dyk235yzdz3","G10A","G","10","A","G10",7,-1,"female",46,"correct","If I didn't win, I think it would be better to not know what my odds were than to know the odds are 50/50 and I chose wrong."
"50","qxqv35yzeti","G12A","G","12","A","G12",7,3,"male",29,"correct","I'd rather have a 50:50 shot at the drug I choose working than an unknown probability."
"51","8emr35yzrql","L4B","L","4","B","L4",7,-2,"female",36,"correct","I figured my odds were a little better than the 50/50.  I wanted to remain optimistic that the outcome for me having the easier virus"
"52","a5t635yzb22","G5A","G","5","A","G5",7,3,"male",33,"correct","The first option gave the most information. If I did a protocol and it didn't work, I would know the other one would, and that everyone else is equally in the same boat as I."
"53","hab235yz7dn","L4B","L","4","B","L4",7,0,"male",55,"correct","The result is the same either way, it either has one or the other. If the probabilities are unknown to me , then they are effectively equal to me. There is nothing I can do about it."
"54","tvqj35yzbuk","L8A","L","8","A","L8",7,2,"female",44,"correct",NA
"55","n5tt35yzi40","G7B","G","7","B","G7",5,0,"female",29,"correct",NA
"56","hgc935yz7ug","L10B","L","10","B","L10",7,3,"male",32,"correct","I would rather know the chances of a branch closure so that I could make future plans if I was laid off."
"57","3e6c35yztcc","L5A","L","5","A","L5",7,2,"male",38,"correct","Since the known was even odds I thought about the possibility that it fell on either side of that, but ultimately I would rather know the probabilities than not know them."
"58","4aj035yzwaw","G10B","G","10","B","G10",7,-3,"male",20,"correct",NA
"59","tu7t35yz7va","G11B","G","11","B","G11",7,2,"female",64,"correct",NA
"60","k5ko35yz15m","G1B","G","1","B","G1",7,2,"male",32,"correct",NA
"61","g2ay35yz0zt","G8B","G","8","B","G8",7,0,"male",31,"correct",NA
"62","6inl35yzobu","L10A","L","10","A","L10",7,0,"female",50,"correct",NA
"63","v26e35yzta2","G3B","G","3","B","G3",7,0,"male",30,"correct",NA
"64","xzuv35yzcen","G8A","G","8","A","G8",7,-2,"female",33,"correct","I don't like ifs. I would rather have definite answers"
"65","6wfj35yzwo5","G11B","G","11","B","G11",7,0,"male",44,"correct","With the odds being unknown, it is effectively 50/50 (even if that is not the real odds), thus I selected no preference."
"66","yhhi35yzn77","L12A","L","12","A","L12",7,1,"female",46,"correct","At least with 50/50 odds I'd know that one department wasn't at any more risk than the other; however, if I were a risk taker, I'd probably go with the other option and hope that I'd choose the department with less chance of the budget cut.  I'm just not that brave I suppose."
"67","4zov35yzaeu","G2B","G","2","B","G2",7,0,"female",58,"correct",NA
"68","z55w35yz1ud","G7B","G","7","B","G7",6,-1,"male",31,"correct","Choosing between which neighborhood I would rather be in. There is varying chances that a new school will be built in one of the neighborhoods. I chose improbable because I think it's not much different than 50/50."
"69","x2sq35yzcwd","G3A","G","3","A","G3",7,3,"female",38,"correct","The way the question was asked influenced my answer"
"70","vhgh35yzufc","L2B","L","2","B","L2",7,3,"male",27,"correct",NA
"71","sz0035yz93j","G2A","G","2","A","G2",7,3,"female",48,"correct","I would rather a 50/50 probabilty than an unknown"
"72","ss6q35yzdb3","G6B","G","6","B","G6",7,0,"na",28,"correct",NA
"73","ygzm35yzlrh","L5B","L","5","B","L5",7,0,"male",48,"correct",NA
"74","2fgs35yz2pb","G4B","G","4","B","G4",7,2,"male",25,"correct",NA
"75","00em35yzu06","L8B","L","8","B","L8",7,1,"male",40,"correct","I was thinking about how I might prefer knowing there is a 50/50 chance, as those are odds I can understand. alternatively, not knowing what the probability is could mean that the probability of damage is really high, but I just don't know that it is... 
I guess I'd rather know , and know there is a chance it came out ok."
"76","w39w35yzh6a","L11A","L","11","A","L11",7,0,"male",39,"correct",NA
"77","9chy35yzzsl","G11B","G","11","B","G11",6,0,"female",43,"correct",NA
"78","fk7w35yzoej","G12A","G","12","A","G12",7,1,"female",29,"correct","Even if it's 50/50, I'd at least want to know the probability, I think."
"79","y0l235yzm53","L8B","L","8","B","L8",6,0,"female",35,"correct",NA
"80","8t9i35yzdbn","L1A","L","1","A","L1",7,2,"female",50,"correct","I was trying to think if it would really matter since 50/50 is not really any better odds than not knowing about either one.  I actually tried to reason out which could possibly be better situation, but not really sure either.  Tough question - but good."
"81","l2ab35yz6pu","G7B","G","7","B","G7",7,-2,"male",37,"correct",NA
"82","rrhc35yzyl0","G10A","G","10","A","G10",7,2,"female",30,"correct","50/50 is pretty good odds, I would prefer that over a percentage like 90/10 or 80/20"
"83","p6x835yzyr1","G11B","G","11","B","G11",7,0,"male",28,"correct",NA
"84","qoqw35yzbba","G4B","G","4","B","G4",7,0,"female",41,"correct",NA
"85","r0hx35yzdme","L4B","L","4","B","L4",7,0,"female",64,"correct","Either choice has a chance of negative issues."
"86","fhhf35yz8b6","L3A","L","3","A","L3",7,2,"male",30,"correct",NA
"87","580035yzlyz","L1A","L","1","A","L1",6,2,"female",55,"correct","There was no good answer on that one I felt as I wouldn't want to have any stock that would plummet."
"88","rkff35yzeqk","G2B","G","2","B","G2",7,-2,"female",47,"correct","I was thinking that I would rather that one of the companies got a really great investor in it and that hopefully I would land a job with that company than that both companies got half-hearted investors, but nothing really outstanding i.e. I thought that option A was putting all my eggs in one basket, but I hoped that it would work to my advantage."
"89","nrr635yzd5k","L1A","L","1","A","L1",7,0,"male",30,"correct",NA
"90","939x35yziqf","L4B","L","4","B","L4",7,2,"male",63,"correct","it was difficult to choose an answer for that one.  I just figured i'd feel more comfortable if i knew i had a 50/50 chance that it would not take a long time to repair.  it seemed like the ""safer"" option although both options were risky."
"91","j8ev35yz4be","G2B","G","2","B","G2",7,2,"male",52,"correct","I would rather know what the odds are"
"92","6frn35yzchz","G3B","G","3","B","G3",6,0,"male",30,"correct","I chose that I have no preference. No matter which scenario I chose, I would have no knowledge of which would be the more highly supported department, so it wouldn't matter which I chose."
"93","07xc35yzk06","L2A","L","2","A","L2",7,3,"female",49,"correct","I like to look at things more positively.  If I had a 50/50 chance, that seemed to better than not knowing!"
"94","jmmo35yzyl9","L11B","L","11","B","L11",7,2,"male",39,"correct",NA
"95","i77135yz9cu","G12B","G","12","B","G12",7,-1,"male",38,"correct",NA
"96","m3g835yzin2","G4B","G","4","B","G4",7,-1,"female",57,"correct",NA
"97","tr5235yz7ov","L2A","L","2","A","L2",6,3,"male",26,"correct",NA
"98","wt4g35yz3yr","G11A","G","11","A","G11",7,-2,"female",29,"correct",NA
"99","vyr035yz152","L6B","L","6","B","L6",7,2,"female",64,"correct","I'd rather know the odds."
"100","7r8035yzwgw","L7A","L","7","A","L7",5,-3,"male",39,"correct",NA
"101","kx4l35yzhrw","L5B","L","5","B","L5",7,0,"female",43,"correct",NA
"102","b2gp35yzhri","G7A","G","7","A","G7",7,3,"female",30,"correct",NA
"103","si4z35yzg54","G7B","G","7","B","G7",6,0,"male",37,"correct",NA
"104","1cqf35yzdx6","L5B","L","5","B","L5",7,1,"female",34,"correct",NA
"105","zypg35yzbx3","G4A","G","4","A","G4",7,-2,"male",40,"correct","The options were not really clear. 50% chance might mean neither was interested in me. The choices could have been clearer. So, I chose the one where I knew at least one person was interested in me."
"106","nf7c35yzb8d","G8A","G","8","A","G8",7,0,"male",41,"correct",NA
"107","q2v535yz86q","G5B","G","5","B","G5",7,-1,"female",24,"correct",NA
"108","6e2035yzadu","G9A","G","9","A","G9",7,2,"male",37,"correct",NA
"109","14h435yzwx0","G6B","G","6","B","G6",7,0,"female",44,"correct",NA
"110","vgky35yzbf7","G2B","G","2","B","G2",7,0,"female",29,"correct",NA
"111","ltay35yzo6v","G12B","G","12","B","G12",7,-2,"male",47,"correct","I would think I could use the placebo effect to my advantage and convince myself I have taken the one I need and that it is working."
"112","ugmm35yz13s","L6A","L","6","A","L6",7,0,"female",35,"correct",NA
"113","dq4d35yz87z","L10A","L","10","A","L10",7,2,"female",38,"correct","It feels better intuitively, even though on second thought, both answers are basically the same"
"114","bzcu35yzgi5","G5A","G","5","A","G5",7,0,"female",41,"correct",NA
"115","2uj435yzq5c","G5A","G","5","A","G5",7,-3,"female",56,"correct","Better to get some benefit from the training than to pick and maybe get the one that doesn't help at all."
"116","unr535yzrrt","L8A","L","8","A","L8",7,-3,"male",24,"correct","Both answers were fairly similar, answer B sounded more natural."
"117","owhe35yzv73","L1B","L","1","B","L1",7,-2,"male",36,"correct","I know that the stock market is always volatile, so I don't care to have exact odds."
"118","qwme35yz47z","G4A","G","4","A","G4",7,0,"female",39,"correct",NA
"119","w4mf35yza65","G2A","G","2","A","G2",7,0,"female",55,"correct","Each scenario was the same. One was no better than the other at this time."
"120","gi9d35yztfi","L7B","L","7","B","L7",7,-3,"male",36,"correct","Personally knowing probabilities of an outcome usually ends up with me being on the losing side. I would prefr not to know anything about chances and just let it be."
"121","sp3j35yz0lj","L10B","L","10","B","L10",7,3,"female",46,"correct","I was thinking that it would be unfair if the odds favored one bank closing"
"122","334535yzcs5","L4B","L","4","B","L4",7,-2,"female",49,"correct","I chose the option because there was a chance that I will not be attacked with virus X, which will require a long time to fix the computer."
"123","2vj435yzkeo","G3B","G","3","B","G3",7,-2,"female",34,"correct","I would rather choose without knowing what the other boss preferred because it would cause too much stress. it's out of my hands anyway"
"124","n0l435yz4ff","L12A","L","12","A","L12",7,0,"female",43,"correct","There doesn't seem to be an improved chance of making the right decision, so I was indifferent."
"125","sgnz35yzgp0","L7B","L","7","B","L7",7,0,"male",34,"correct",NA
"126","4i2p35yzu3y","G6B","G","6","B","G6",7,2,"female",56,"correct","I chose that answer because it gave me even odds. I would have a fifty-fifty chance of running into my crush no matter which parry I chose."
"127","mwy235yz7um","L5B","L","5","B","L5",7,2,"female",31,"correct","I was thinking that I would like to know my percentage of dying."
"128","uffa35yz35h","L5A","L","5","A","L5",7,0,"female",41,"correct",NA
"129","dhmu35yzk10","G3B","G","3","B","G3",7,1,"male",25,"correct",NA
"130","7id035yzuih","L9A","L","9","A","L9",7,-3,"male",40,"correct","If I knew the odds of winning, and they were only 50%, I would be very nervous about the election. It would also be quite discouraging to feel that I had no advantage over my opponent as a long serving mayor. If I didn't know the odds of winning, I would feel much more confident and encouraged, whether it was realistic or not. Just the confidence and positivity that I would have would certainly help my chances of winning."
"131","34d835yzmpz","L9A","L","9","A","L9",7,2,"male",39,"correct","I chose the 50 50 option because the other was very vague, I understand that it really didnt matter, but atleast 50/50 is a concept I can grasp easier than just being wishy washy about it."
"132","h37n35yzqav","G6B","G","6","B","G6",7,0,"female",24,"correct",NA
