subject,condition,vignetteType,vignetteNumber,answerOrder,vignette,dummyVignetteAnswer,vignetteAnswer,gender,age,postQuestion1,postQuestion2
o2lc35yzcpg,L7A,L,7,A,L7,7,2,male,51,correct,I prefer to know the specific odds
7emt35yz8gy,L11B,L,11,B,L11,7,1,female,35,correct,NA
go6e35yzl0i,L4B,L,4,B,L4,7,6,male,49,correct,I'd prefer to know the probability that each option would get discontinued. I was thinking 50/50 is better than not knowing the odds.
pawc35yzk9o,G10A,G,10,A,G10,7,2,female,24,correct,The possibility percentage was the same for each answer but there was something about seeing the actual percentage that made the choice more appealing.
rs7g35yz9py,L12B,L,12,B,L12,7,4,female,42,correct,With A it could be 50/50 as well so either one would have been an answer for me.
7nql35yzygy,L1A,L,1,A,L1,7,2,male,75,correct,probably 50% situation rather than x%
kx9135yz6xs,L11B,L,11,B,L11,7,4,female,50,correct,NA
dp5j35yz3yf,G5B,G,5,B,G5,7,5,female,35,correct,I would slightly prefer that the probabilities would be equal because if they weren't and I chose the 'wrong' one I feel like I would regret my choice more. With 50/50 it's a coin toss.
21ls35yzp09,L6B,L,6,B,L6,7,6,male,31,correct,NA
in3g35yzivh,G8A,G,8,A,G8,7,1,male,42,correct,NA
hq6i35yzdby,G11B,G,11,B,G11,7,6,male,37,correct,NA
hcbq35yzzwf,L8B,L,8,B,L8,7,2,male,41,correct,NA
l10835yz2j9,L12A,L,12,A,L12,7,4,female,41,correct,"It seems like either could potentially be comparable (since B was unknown). It could also be more or less than A, so I chose the middle option."
dl5j35yzwoa,G1B,G,1,B,G1,7,7,male,34,correct,I prefer situations where I know the exact statistics of the situation verses situations where the probabilities are unknown.
lo0x35yzk19,G12A,G,12,A,G12,6,6,female,44,correct,"My reasoning was: With A, there's a 50% chance that it'll help, but then to me, that means there's a 50% chance that it won't. I'd therefore rather go with B that promises memory retention but with no guarantee of the percentage."
vpf235yz055,G10A,G,10,A,G10,7,4,female,48,correct,NA
dsde35yzkbw,L11B,L,11,B,L11,7,4,male,37,correct,It was a 50% shot either way
gz1s35yzd52,L6B,L,6,B,L6,7,4,female,47,correct,There wasn't any difference in choices in my opinion so I chose indifferent.
qu5d35yzmzk,L10B,L,10,B,L10,7,2,female,50,correct,I was thinking that is was best if I did not know which it was so that I would not worry about it.
kpjd35yz4hy,G3A,G,3,A,G3,7,1,female,38,correct,"I was thinking that with that option, there would be a 50/50 chance, which I would like better than the unknown percentage chance of the other option."
ds4935yzypb,G8B,G,8,B,G8,7,3,male,27,correct,NA
ks3l35yz333,G9B,G,9,B,G9,7,6,female,50,correct,It seemed the logical choice to me
4frh35yzb9x,G7B,G,7,B,G7,7,4,male,36,correct,NA
n28y35yzgjz,G5B,G,5,B,G5,7,4,male,40,correct,NA
6vwv35yz7tv,G8B,G,8,B,G8,7,7,male,49,correct,"I chose that answer, because there was at least a 50% chance that person X the one that I was interested in is interested in me. I like those odds, its much better than 49% or zero chance! :)"
