"","subject","condition","vignetteType","vignetteNumber","answerOrder","dummyVignetteAnswer","vignetteAnswer","gender","age","postquestion1","postquestion2"
"1","o2lc35yzcpg","L3A","L",3,"A","7","2","male","51","correct","I prefer to know the specific odds"
"2","7emt35yz8gy","L8B","L",8,"B","7","1","female","35","correct",""
"3","go6e35yzl0i","L11B","L",11,"B","7","6","male","49","correct","I'd prefer to know the probability that each option would get discontinued. I was thinking 50/50 is better than not knowing the odds."
"4","pawc35yzk9o","G6A","G",6,"A","7","2","female","24","correct","The possibility percentage was the same for each answer but there was something about seeing the actual percentage that made the choice more appealing."
"5","rs7g35yz9py","L9B","L",9,"B","7","4","female","42","correct","With A it could be 50/50 as well so either one would have been an answer for me."
"6","7nql35yzygy","L7A","L",7,"A","7","2","male","75","correct","probably 50% situation rather than x%"
"7","kx9135yz6xs","L8B","L",8,"B","7","4","female","50","correct",""
"8","dp5j35yz3yf","G1B","G",1,"B","7","5","female","35","correct","I would slightly prefer that the probabilities would be equal because if they weren't and I chose the 'wrong' one I feel like I would regret my choice more. With 50/50 it's a coin toss."
"9","21ls35yzp09","L10B","L",10,"B","7","6","male","31","correct",""
"10","in3g35yzivh","G4A","G",4,"A","7","1","male","42","correct",""
"11","hq6i35yzdby","G11B","G",11,"B","7","6","male","37","correct",""
"12","hcbq35yzzwf","L2B","L",2,"B","7","2","male","41","correct",""
"13","l10835yz2j9","L9A","L",9,"A","7","4","female","41","correct","It seems like either could potentially be comparable (since B was unknown). It could also be more or less than A, so I chose the middle option."
"14","dl5j35yzwoa","G10B","G",10,"B","7","7","male","34","correct","I prefer situations where I know the exact statistics of the situation verses situations where the probabilities are unknown."
"15","lo0x35yzk19","G12A","G",12,"A","6","6","female","44","correct","My reasoning was: With A, there's a 50% chance that it'll help, but then to me, that means there's a 50% chance that it won't. I'd therefore rather go with B that promises memory retention but with no guarantee of the percentage."
"16","vpf235yz055","G6A","G",6,"A","7","4","female","48","correct",""
"17","dsde35yzkbw","L8B","L",8,"B","7","4","male","37","correct","It was a 50% shot either way"
"18","gz1s35yzd52","L10B","L",10,"B","7","4","female","47","correct","There wasn't any difference in choices in my opinion so I chose indifferent."
"19","qu5d35yzmzk","L5B","L",5,"B","7","2","female","50","correct","I was thinking that is was best if I did not know which it was so that I would not worry about it. "
"20","kpjd35yz4hy","G3A","G",3,"A","7","1","female","38","correct","I was thinking that with that option, there would be a 50/50 chance, which I would like better than the unknown percentage chance of the other option."
"21","ds4935yzypb","G4B","G",4,"B","7","3","male","27","correct",""
"22","ks3l35yz333","G5B","G",5,"B","7","6","female","50","correct","It seemed the logical choice to me"
"23","4frh35yzb9x","G7B","G",7,"B","7","4","male","36","correct",""
"24","n28y35yzgjz","G1B","G",1,"B","7","4","male","40","correct",""
"25","6vwv35yz7tv","G4B","G",4,"B","7","7","male","49","correct","I chose that answer, because there was at least a 50% chance that person X the one that I was interested in is interested in me. I like those odds, its much better than 49% or zero chance! :)"
"26","xbk235yzrpj","L5B","L",5,"B","7","1","female","33","correct","I would rather not know the percentages if it was a 50/50 chance.  I would constantly wonder which it could be, whereas if I don't know the percentage I wouldn't focus as much on it."
"27","psid35yzn45","L11B","L",11,"B","7","4","male","38","correct",""
"28","sghz35yzg8u","G3A","G",3,"A","7","4","male","28","correct","Because I truly was indifferent to both options. They both seemed equally appealing to me."
"29","2sf835yziek","G5B","G",5,"B","7","1","female","56","correct","sure to get something"
"30","ut9i35yzs7r","G6B","G",6,"B","7","3","male","39","correct","I think that I would slightly prefer to not have an even chance of my crush being at one party or the other. That way, regardless of the outcome I can feel free to blame or praise the odds for the result. "
"31","qenw35yznkm","G11A","G",11,"A","7","2","male","23","correct","Knowing the probability makes me more comfortable"
"32","cm2035yzi1g","G6B","G",6,"B","7","4","male","28","correct","Because it would be a guessing game either way, I was indifferent to the possibilities that were presented."
"33","so6v35yz71w","G5B","G",5,"B","7","2","male","52","correct",""
"34","q6ca35yzn5l","G3B","G",3,"B","7","6","female","33","correct","I would prefer to know the odds beforehand, even if there was no way to know the outcome. "
"35","9fpx35yzsr0","L11B","L",11,"B","7","4","female","44","correct","I think that both answers were equally undesirable as neither one would really help you to make a decision."
"36","rdxr35yzrte","G5B","G",5,"B","7","5","male","55","correct","I leaned toward option B because I figured a 50-50 chance was good even odds and the other may be very unbalanced."
"37","qsd635yz4im","G8B","G",8,"B","7","4","female","29","correct","Either way, to me, it would be the same outcome regardless of probability. Either it's X or Y."
"38","7nku35yz2rg","G6A","G",6,"A","6","4","female","45","correct","Its difficult to decide which option to be in so i will just follow fate."
"39","ktb035yzw6x","G3A","G",3,"A","7","4","male","30","correct",""
"40","r90235yz85p","G2B","G",2,"B","7","2","female","56","correct","I think since I had a 50/50 chance of selecting either employer, I preferred that the odds were the same that each company would get funding."
"41","rxva35yz3rw","L4A","L",4,"A","7","4","male","44","correct","The odds seemed to be about the same, so it was mostly pointless to choose..."
"42","fxf935yzfg3","L12B","L",12,"B","7","6","female","55","correct","I think I would like to know the percentages rather than it being ambiguous. "
"43","5rg035yztlh","L10A","L",10,"A","6","2","male","32","correct",""
"44","ihk135yz1lm","G5B","G",5,"B","7","6","male","33","correct","I chose option B because I feel as though there is a 50/50 chance and either direction would work wonderfully. "
"45","5fut35yz7wk","L9A","L",9,"A","2","7","female","29","correct",""
"46","nlqj35yzfy2","L8B","L",8,"B","7","2","male","39","correct","I guess I felt a little better not having exact odds placed on it. I was thinking my odds might be 60 or 70 percent since no number was stated in that option. I felt like there was a higher chance my car did not get hit or at least I was trying to positively will it to be that way."
"47","lxen35yz47t","G1B","G",1,"B","7","6","male","57","correct","It simplifies everything. With the available information, there's no real way to make an intelligent decision on which stock to sell. A 50% chance for each one is simple, so I prefer that one."
"48","1ahb35yzpav","L10A","L",10,"A","7","2","female","56","correct","I preferred the 50-50 odds. "
"49","vclj35yz90g","L10A","L",10,"A","7","4","female","43","correct","I thought about which option would be beneficial to me.  So for the first question, I chose the house that was on a hill, that way I wouldn't get flooded.  In the second, neither option really would change my outcome."
"50","dyk235yzdz3","G10A","G",10,"A","7","5","female","46","correct","If I didn't win, I think it would be better to not know what my odds were than to know the odds are 50/50 and I chose wrong."
"51","qxqv35yzeti","G12A","G",12,"A","7","1","male","29","correct","I'd rather have a 50:50 shot at the drug I choose working than an unknown probability."
"52","8emr35yzrql","L4B","L",4,"B","7","2","female","36","correct","I figured my odds were a little better than the 50/50.  I wanted to remain optimistic that the outcome for me having the easier virus"
"53","a5t635yzb22","G5A","G",5,"A","7","1","male","33","correct","The first option gave the most information. If I did a protocol and it didn't work, I would know the other one would, and that everyone else is equally in the same boat as I."
"54","hab235yz7dn","L4B","L",4,"B","7","4","male","55","correct","The result is the same either way, it either has one or the other. If the probabilities are unknown to me , then they are effectively equal to me. There is nothing I can do about it."
"55","tvqj35yzbuk","L8A","L",8,"A","7","2","female","44","correct",""
"56","n5tt35yzi40","G7B","G",7,"B","5","4","female","29","correct",""
"57","hgc935yz7ug","L10B","L",10,"B","7","7","male","32","correct","I would rather know the chances of a branch closure so that I could make future plans if I was laid off."
"58","3e6c35yztcc","L5A","L",5,"A","7","2","male","38","correct","Since the known was even odds I thought about the possibility that it fell on either side of that, but ultimately I would rather know the probabilities than not know them."
"59","4aj035yzwaw","G10B","G",10,"B","7","1","male","20","correct",""
"60","tu7t35yz7va","G11B","G",11,"B","7","6","female","64","correct",""
"61","k5ko35yz15m","G1B","G",1,"B","7","6","male","32","correct",""
"62","g2ay35yz0zt","G8B","G",8,"B","7","4","male","31","correct",""
"63","6inl35yzobu","L10A","L",10,"A","7","4","female","50","correct",""
"64","v26e35yzta2","G3B","G",3,"B","7","4","male","30","correct",""
"65","xzuv35yzcen","G8A","G",8,"A","7","6","female","33","correct","I don't like ifs. I would rather have definite answers"
"66","6wfj35yzwo5","G11B","G",11,"B","7","4","male","44","correct","With the odds being unknown, it is effectively 50/50 (even if that is not the real odds), thus I selected no preference."
"67","yhhi35yzn77","L12A","L",12,"A","7","3","female","46","correct","At least with 50/50 odds I'd know that one department wasn't at any more risk than the other; however, if I were a risk taker, I'd probably go with the other option and hope that I'd choose the department with less chance of the budget cut.  I'm just not that brave I suppose."
"68","4zov35yzaeu","G2B","G",2,"B","7","4","female","58","correct",""
"69","z55w35yz1ud","G7B","G",7,"B","6","3","male","31","correct","Choosing between which neighborhood I would rather be in. There is varying chances that a new school will be built in one of the neighborhoods. I chose improbable because I think it's not much different than 50/50."
"70","x2sq35yzcwd","G3A","G",3,"A","7","1","female","38","correct","The way the question was asked influenced my answer"
"71","vhgh35yzufc","L2B","L",2,"B","7","7","male","27","correct",""
"72","sz0035yz93j","G2A","G",2,"A","7","1","female","48","correct","I would rather a 50/50 probabilty than an unknown"
"73","ss6q35yzdb3","G6B","G",6,"B","7","4","na","28","correct",""
"74","ygzm35yzlrh","L5B","L",5,"B","7","4","male","48","correct",""
"75","2fgs35yz2pb","G4B","G",4,"B","7","6","male","25","correct",""
"76","00em35yzu06","L8B","L",8,"B","7","5","male","40","correct","I was thinking about how I might prefer knowing there is a 50/50 chance, as those are odds I can understand. alternatively, not knowing what the probability is could mean that the probability of damage is really high, but I just don't know that it is... 
I guess I'd rather know , and know there is a chance it came out ok."
"77","w39w35yzh6a","L11A","L",11,"A","7","4","male","39","correct",""
"78","9chy35yzzsl","G11B","G",11,"B","6","4","female","43","correct",""
"79","fk7w35yzoej","G12A","G",12,"A","7","3","female","29","correct","Even if it's 50/50, I'd at least want to know the probability, I think."
"80","y0l235yzm53","L8B","L",8,"B","6","4","female","35","correct",""
"81","8t9i35yzdbn","L1A","L",1,"A","7","2","female","50","correct","I was trying to think if it would really matter since 50/50 is not really any better odds than not knowing about either one.  I actually tried to reason out which could possibly be better situation, but not really sure either.  Tough question - but good.  "
"82","l2ab35yz6pu","G7B","G",7,"B","7","2","male","37","correct",""
"83","rrhc35yzyl0","G10A","G",10,"A","7","2","female","30","correct","50/50 is pretty good odds, I would prefer that over a percentage like 90/10 or 80/20"
"84","p6x835yzyr1","G11B","G",11,"B","7","4","male","28","correct",""
"85","qoqw35yzbba","G4B","G",4,"B","7","4","female","41","correct",""
"86","r0hx35yzdme","L4B","L",4,"B","7","4","female","64","correct","Either choice has a chance of negative issues."
"87","fhhf35yz8b6","L3A","L",3,"A","7","2","male","30","correct",""
"88","580035yzlyz","L1A","L",1,"A","6","2","female","55","correct","There was no good answer on that one I felt as I wouldn't want to have any stock that would plummet."
"89","rkff35yzeqk","G2B","G",2,"B","7","2","female","47","correct","I was thinking that I would rather that one of the companies got a really great investor in it and that hopefully I would land a job with that company than that both companies got half-hearted investors, but nothing really outstanding i.e. I thought that option A was putting all my eggs in one basket, but I hoped that it would work to my advantage.  "
"90","nrr635yzd5k","L1A","L",1,"A","7","4","male","30","correct",""
"91","939x35yziqf","L4B","L",4,"B","7","6","male","63","correct","it was difficult to choose an answer for that one.  I just figured i'd feel more comfortable if i knew i had a 50/50 chance that it would not take a long time to repair.  it seemed like the ""safer"" option although both options were risky."
"92","j8ev35yz4be","G2B","G",2,"B","7","6","male","52","correct","I would rather know what the odds are"
"93","6frn35yzchz","G3B","G",3,"B","6","4","male","30","correct","I chose that I have no preference. No matter which scenario I chose, I would have no knowledge of which would be the more highly supported department, so it wouldn't matter which I chose."
"94","07xc35yzk06","L2A","L",2,"A","7","1","female","49","correct","I like to look at things more positively.  If I had a 50/50 chance, that seemed to better than not knowing!"
"95","jmmo35yzyl9","L11B","L",11,"B","7","6","male","39","correct",""
"96","i77135yz9cu","G12B","G",12,"B","7","3","male","38","correct",""
"97","m3g835yzin2","G4B","G",4,"B","7","3","female","57","correct",""
"98","tr5235yz7ov","L2A","L",2,"A","6","1","male","26","correct",""
"99","wt4g35yz3yr","G11A","G",11,"A","7","6","female","29","correct",""
"100","vyr035yz152","L6B","L",6,"B","7","6","female","64","correct","I'd rather know the odds."
"101","7r8035yzwgw","L7A","L",7,"A","5","7","male","39","correct",""
"102","kx4l35yzhrw","L5B","L",5,"B","7","4","female","43","correct",""
"103","nqn635yza15","L4A","L",4,"A","1","1","male","33","correct","i like numbers i like to know my odds i don't like uncertanty"
"104","b2gp35yzhri","G7A","G",7,"A","7","1","female","30","correct",""
"105","si4z35yzg54","G7B","G",7,"B","6","4","male","37","correct",""
"106","1cqf35yzdx6","L5B","L",5,"B","7","5","female","34","correct",""
"107","zypg35yzbx3","G4A","G",4,"A","7","6","male","40","correct","The options were not really clear. 50% chance might mean neither was interested in me. The choices could have been clearer. So, I chose the one where I knew at least one person was interested in me."
"108","nf7c35yzb8d","G8A","G",8,"A","7","4","male","41","correct",""
"109","q2v535yz86q","G5B","G",5,"B","7","3","female","24","correct",""
"110","6e2035yzadu","G9A","G",9,"A","7","2","male","37","correct",""
"111","14h435yzwx0","G6B","G",6,"B","7","4","female","44","correct",""
"112","vgky35yzbf7","G2B","G",2,"B","7","4","female","29","correct",""
"113","ltay35yzo6v","G12B","G",12,"B","7","2","male","47","correct","I would think I could use the placebo effect to my advantage and convince myself I have taken the one I need and that it is working."
"114","ugmm35yz13s","L6A","L",6,"A","7","4","female","35","correct",""
"115","dq4d35yz87z","L10A","L",10,"A","7","2","female","38","correct","It feels better intuitively, even though on second thought, both answers are basically the same"
"116","bzcu35yzgi5","G5A","G",5,"A","7","4","female","41","correct",""
"117","2uj435yzq5c","G5A","G",5,"A","7","7","female","56","correct","Better to get some benefit from the training than to pick and maybe get the one that doesn't help at all. "
"118","unr535yzrrt","L8A","L",8,"A","7","7","male","24","correct","Both answers were fairly similar, answer B sounded more natural. "
"119","eif335yzg4v","G4A","G",4,"A","1","1","female","52","correct","The same diference between 50% and 50% chance of each liking me and the unknown percentage"
"120","owhe35yzv73","L1B","L",1,"B","7","2","male","36","correct","I know that the stock market is always volatile, so I don't care to have exact odds."
"121","qwme35yz47z","G4A","G",4,"A","7","4","female","39","correct",""
"122","w4mf35yza65","G2A","G",2,"A","7","4","female","55","correct","Each scenario was the same. One was no better than the other at this time."
"123","gi9d35yztfi","L7B","L",7,"B","7","1","male","36","correct","Personally knowing probabilities of an outcome usually ends up with me being on the losing side. I would prefr not to know anything about chances and just let it be."
"124","sp3j35yz0lj","L10B","L",10,"B","7","7","female","46","correct","I was thinking that it would be unfair if the odds favored one bank closing"
"125","334535yzcs5","L4B","L",4,"B","7","2","female","49","correct","I chose the option because there was a chance that I will not be attacked with virus X, which will require a long time to fix the computer."
"126","2vj435yzkeo","G3B","G",3,"B","7","2","female","34","correct","I would rather choose without knowing what the other boss preferred because it would cause too much stress. it's out of my hands anyway"
"127","n0l435yz4ff","L12A","L",12,"A","7","4","female","43","correct","There doesn't seem to be an improved chance of making the right decision, so I was indifferent."
"128","sgnz35yzgp0","L7B","L",7,"B","7","4","male","34","correct",""
"129","4i2p35yzu3y","G6B","G",6,"B","7","6","female","56","correct","I chose that answer because it gave me even odds. I would have a fifty-fifty chance of running into my crush no matter which parry I chose."
"130","mwy235yz7um","L5B","L",5,"B","7","6","female","31","correct","I was thinking that I would like to know my percentage of dying."
"131","uffa35yz35h","L5A","L",5,"A","7","4","female","41","correct",""
"132","dhmu35yzk10","G3B","G",3,"B","7","5","male","25","correct",""
"133","7id035yzuih","L9A","L",9,"A","7","7","male","40","correct","If I knew the odds of winning, and they were only 50%, I would be very nervous about the election. It would also be quite discouraging to feel that I had no advantage over my opponent as a long serving mayor. If I didn't know the odds of winning, I would feel much more confident and encouraged, whether it was realistic or not. Just the confidence and positivity that I would have would certainly help my chances of winning. "
"134","34d835yzmpz","L9A","L",9,"A","7","2","male","39","correct","I chose the 50 50 option because the other was very vague, I understand that it really didnt matter, but atleast 50/50 is a concept I can grasp easier than just being wishy washy about it. "
"135","h37n35yzqav","G6B","G",6,"B","7","4","female","24","correct",""
"136","msp835yz55u","G10B","G",10,"B","7","7","female","49","correct","I figured if the odds weren't known that it was probably because the odds of winning were very low and I would be better off with a 50/50 chance."
"137","yfuw35yz7np","G7A","G",7,"A","1","4","male","32","correct",""
"138","dkd535yzckv","G5B","G",5,"B","7","7","male","31","correct","It just felt right and be the better of the two choices."
"139","nmov35yzytc","G11A","G",11,"A","7","4","male","39","correct","Since there is a equal chance for both as well as you can not be at both the places. It does not matter which is your preferred one."
"140","zjeo35yzfzc","L1A","L",1,"A","7","2","female","34","correct","I would rather have t least 50% chance of the stock I have already doing well. "
"141","wjhq35yz9oy","G7A","G",7,"A","7","3","male","29","correct",""
"142","ocd535yz0p9","L11A","L",11,"A","7","3","male","45","correct","I would rather know the percentages than not."
"143","640p35yzvpk","L4A","L",4,"A","7","2","male","50","correct","I felt it was better knowing a bit about the chances."
"144","odyf35yzebq","G11B","G",11,"B","7","7","male","36","correct","a 50:50 ratio  gave me the better chance to spot the bird... none of the the scenarios could grant me a satisfying success rate though.."
"145","cpzi35yzgjl","G4B","G",4,"B","7","5","female","41","correct",""
"146","rmci35yzzwq","G9A","G",9,"A","7","4","female","45","correct","The answers had the same practical application to my life. Whether the odds were certainly 50% or unknowable, my child would still have a 50% chance of pursuing the 'right' talent."
"147","enz935yze1l","L8A","L",8,"A","7","1","male","40","incorrect","I made choice based on my previous experiences with luck."
"148","o2xx35yzryq","G8B","G",8,"B","7","4","male","47","correct","I didn't really care either way for the blind date question. While I want a date that is a beautiful, she would also make me feel self conscious and out of my league. Because of that, it is a toss-up whether I would prefer her or the average looking girl. The unknown percentage choice was as reasonable to me as the 50/50 one."
"149","k75s35yz6em","L5B","L",5,"B","7","4","male","43","correct","Without knowing the percentages in option A, there's no way of knowing which I would prefer."
"150","0yyy35yzo0v","G6B","G",6,"B","1","6","male","36","correct",""
"151","1m3e35yz2ts","G4A","G",4,"A","7","6","male","40","correct",""
"152","mabp35yzk4j","G8B","G",8,"B","7","6","female","28","correct","an ugly person could have a much more attractive personality. So it really didn't matter to me"
"153","mok035yzyrl","G4B","G",4,"B","7","3","female","60","correct","That was a tough one. I was hoping the probability would be higher for the person I have the romantic interest in, rather than 50/50. Still it's a gamble."
"154","ua8w35yz47c","L3B","L",3,"B","7","4","male","24","correct","I was thinking to myself that statistically, both options are essentially the same; one said that I know the odds are 50/50 and the other said I didn't know the odds. Given this lack of information and only two possibilities, then it is essentially a 50/50 possibility regardless. Because of this I had no preference between the two options. "
"155","y6s835yzz2h","G9A","G",9,"A","7","2","female","33","correct",""
"156","k8v035yzw5x","G4A","G",4,"A","7","3","female","38","correct",""
"157","2utk35yz3l9","L9B","L",9,"B","1","6","female","33","correct","I'm really not totally sure how I would feel. The A option would more than likely make me crazy, though."
"158","mymz35yzr83","L7A","L",7,"A","7","3","male","28","correct",""
"159","n7kq35yzbrx","L6A","L",6,"A","7","4","female","34","correct","I was thinking that the probability didn't really matter."
"160","nha635yzuxd","L8A","L",8,"A","3","5","male","42","correct",""
"161","th2v35yz7lu","G3B","G",3,"B","7","5","female","41","correct",""
"162","vcn735yz553","L12B","L",12,"B","7","4","female","33","correct","I had no preference. I went back and forth but neither situation is better than the other. I'll just go in blind. "
"163","zuyl35yztox","G3B","G",3,"B","7","4","female","56","correct","Since there is a 50/50 chance one or the other departments will be supported, it does not matter which department I go."
"164","ygcg35yzpo5","G4A","G",4,"A","7","3","male","36","correct",""
"165","jdrv35yzmif","G6B","G",6,"B","7","7","female","29","correct","There are two parties and I figured one party is better than the other,so my crush should be there."
"166","a8gy35yzprm","G6A","G",6,"A","7","1","male","28","correct","Because I have the same chances of meeting them at either party."
"167","qwbd35yzq8j","G11B","G",11,"B","7","7","male","35","correct",""
"168","5jol35yzcmj","G2B","G",2,"B","7","6","male","55","correct","The reasoning for me was simple.  Without knowing which company would have a more significant chance of receiving the investment, I would rather have an even chance of picking the right company."
"169","8cr035yze0x","G4A","G",4,"A","7","2","male","34","correct","50/50 are much better odds than an unknown quantity so I would prefer A"
"170","ojqf35yzcvg","G1A","G",1,"A","7","3","male","28","correct","I felt more comfortable in a situation where taking the gamble came down to 50/50 and I knew where I stood with the gamble. Not knowing the probability of either made me slightly uncomfortable with the prospect of being in that situation."
"171","ro2n35yzm5t","L3A","L",3,"A","7","1","male","30","correct","I would rather know the odds than not know the odds, even if the unknown might be preferable."
"172","i94035yz5ze","L5B","L",5,"B","7","1","female","49","correct","If I knew how much percentage chance I had of contracting the pathogen, it will be difficult for me emotionally. So I would rather prefer that I did not know how much chance I had for acquiring the pathogen."
"173","m1oi35yz4cy","L4B","L",4,"B","7","6","male","55","correct",""
"174","40js35yzwpg","G3A","G",3,"A","7","4","male","46","correct",""
"175","ylxc35yzuwt","L5B","L",5,"B","5","4","female","45","correct",""
