"","subject","condition","vignetteType","vignetteNumber","Start100","dummyConfidence","dummyXprob","dummyYprob","vignetteConfidence","vignetteXprob","vignetteYprob","gender","age","postQuestion1","postQuestion2"
"1","vn0k35yzvez","G4x","G",4,"x","3","90","10","2","50","50","female","26","correct","I don't think either is more likely to like me just because I like them. However, I could be more flirtatious with the one I like, so it's possibly he likes me more. This uncertainty is why I put I wasn't totally confident with my answer."
"2","du0b35yzi94","G10y","G",10,"y","3","85","15","2","5","95","male","37","correct","$1000 is a nice chunk of change, so I expect the likelihood of drawing a winning red ball to be quite low!"
"3","chm535yz8nr","G3y","G",3,"y","3","90","10","0","50","50","female","32","correct","I chose the answer I did because I viewed the question as a statistical about which one is more likely to be the one that is heavily financed.  Since I didn't have any information that would favor one or the other, I thought that from the viewpoint of having no information for the odds would mean it could go 50-50 from my viewpoint.  At first, I thought the question was asking what was the likelihood that one department would be favored over the odd and I answered 40% that one department would be heavily financed versus 60% that one department would not be heavily financed because I know that bosses lie for their own benefit a lot, however, after re-reading the question I decided that the question was actually asking what I outlined previously (first) in this paragraph.  However, I did find the question a little confusing, and I'm not sure I actually understood the question the way I was supposed to, so that is why I said I had no confidence in my answer."
"4","akzh35yz4a2","G9x","G",9,"x","4","90","10","4","50","50","female","57","correct","There were only two options, and each one had an equal chance of being chosen. "
"5","7nsi35yzu4c","L7x","L",7,"x","3","88","12","1","66","34","female","31","correct",""
"6","3pix35yz40m","L7y","L",7,"y","4","81","19","4","51","49","female","35","correct",""
"7","zxea35yziu7","G4x","G",4,"x","4","95","5","2","50","50","female","27","correct",""
"8","h7mr35yzw5g","L3x","L",3,"x","3","70","30","4","50","50","male","38","correct","There was no possible way to identify the species of the insect, hence I opted for an 50:50 ratio."
"9","1q3s35yz2sx","L4x","L",4,"x","3","85","15","3","50","50","female","41","correct","I have no information about the two viruses, other than that they cannot coexist in the computer.  Without any information about how common either virus is or symptoms on my computer that relate to one or the other, I figure it's a 50-50 chance whether I have one or the other.  "
"10","pamy35yzhg6","G6x","G",6,"x","4","99","1","4","50","50","female","63","correct","Well, I was told my crush would attend one of the parties, so there was a 50/50 chance regarding which party."
"11","d88n35yzo8g","G1y","G",1,"y","4","100","0","3","75","25","male","24","correct",""
"12","m8jp35yz3bi","G3y","G",3,"y","4","3","97","1","25","75","male","54","correct","I can only guess which department would be promoted by my boss which is rather indecisive. So I chose option Y as it might be heavily supported. Both departments have an equal chance; so 50-50 likely."
"13","47qy35yz9cn","L3x","L",3,"x","3","50","50","3","25","75","male","37","correct",""
"14","hqm635yzt48","G8x","G",8,"x","3","89","11","3","47","53","male","45","correct","I just see nt with my gut feeling as there was no way I could do any reasoning for the answer."
"15","awn135yz9ku","G11x","G",11,"x","4","99","1","4","98","2","female","72","correct","It would be hard to decide if the bird would be in x or y. I was thinking it could be in either x or y."
"16","ihc435yz2he","G7y","G",7,"y","4","95","5","4","50","50","male","38","correct",""
"17","ldqv35yzr01","G7y","G",7,"y","3","90","10","3","50","50","female","42","correct","It wouldn't let me continue on to the next question until I chose a different answer. "
"18","fyqc35yzxl5","G11x","G",11,"x","3","95","5","3","50","50","female","43","correct","There was no indication about whether the bird preferred one preserve over the other one, like how many times the bird was spotted in preserve X versus Y. So, I thought that the odds were just as likely that the bird could be in either one of them."
"19","ieid35yzv6e","G5y","G",5,"y","3","85","15","4","90","10","female","49","correct","I was thinking if both protocols work but on different people then either X or Y would work for me.  I almost set the slider to 50/50 because I would have a 50/50 chance of getting the one that worked, but the question asked what the percentage chance that one would significantly improve my performance.  Because they are mutually exclusive, I chose an almost certain chance that one would work while the other would not."
"20","4xhy35yzcfj","G3x","G",3,"x","4","97","3","4","100","0","female","49","correct","It said the boss would support one department and not support the other so I put it at 100% amd 0%"
"21","c5ym35yzmkv","G2y","G",2,"y","3","90","10","1","50","50","male","29","correct","Well it said I was reasonably certain that one company would receive the investor funding, but I wasn't sure which and without anymore information, I couldn't say which one would receive it for sure. As a result, I put 50/50"
"22","o22x35yzima","L12x","L",12,"x","4","90","10","3","50","50","male","34","correct",""
"23","kch335yzklp","L11y","L",11,"y","3","80","20","2","50","50","male","32","correct",""
"24","0s5935yz996","G1x","G",1,"x","4","77","23","4","70","30","female","29","correct",""
"25","p2tk35yzyh5","L10y","L",10,"y","4","90","10","4","50","50","male","47","correct","There was really nothing to go on that would favor one branch over the other. That's why I made it 50/50."
"26","3apq35yzep6","L10y","L",10,"y","4","10","90","4","50","50","male","50","correct",""
"27","bv6u35yznsp","G9y","G",9,"y","4","90","10","1","50","50","male","28","correct",""
"28","at5o35yzk4t","L8x","L",8,"x","4","95","5","4","75","25","female","36","correct","There is a high likelihood my car was damaged, but because it has not been confirmed I cannot say for certain. "
"29","ofmm35yza7o","G9x","G",9,"x","3","98","2","3","50","50","male","32","correct",""
"30","nt9435yz8fe","L8y","L",8,"y","4","92","8","4","95","5","female","45","correct","I believe that the news that a hailstorm hit the airport must be true, therefor there must be some damage."
