content,date,exp
"{""subject"":""rsg135yzkbr"",""condition"":""L3x"",""vignetteType"":""L"",""vignetteNumber"":3,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""5"",""dummyYprob"":""95"",""vignetteConfidence"":""4"",""vignetteXprob"":""68"",""vignetteYprob"":""32"",""gender"":""female"",""age"":""64"",""postQuestion1"":""correct"",""postQuestion2"":""I was thinking that it was very possible.""}",2019-11-18 01:05:17.885424,
"{""subject"":""ntf435yzwow"",""condition"":""G7y"",""vignetteType"":""G"",""vignetteNumber"":7,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""49"",""dummyYprob"":""51"",""vignetteConfidence"":""4"",""vignetteXprob"":""83"",""vignetteYprob"":""17"",""gender"":""female"",""age"":""57"",""postQuestion1"":""incorrect"",""postQuestion2"":""thank you""}",2019-11-18 08:38:08.751352,
"{""subject"":""1yup35yz8b9"",""condition"":""L1y"",""vignetteType"":""L"",""vignetteNumber"":1,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""3"",""vignetteXprob"":""80"",""vignetteYprob"":""20"",""gender"":""male"",""age"":""43"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 00:37:59.829969,
"{""subject"":""tnyd35yzupo"",""condition"":""L8y"",""vignetteType"":""L"",""vignetteNumber"":8,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""97"",""dummyYprob"":""3"",""vignetteConfidence"":""3"",""vignetteXprob"":""55"",""vignetteYprob"":""45"",""gender"":""male"",""age"":""60"",""postQuestion1"":""correct"",""postQuestion2"":""I was thinking about my personal experiences with hailstorms and how they are not a widespread event. If there were reports of a large hailstorm in the vicinity of the carpark I know there is not a 100% probability it was hit. My best estimate was close to a 50/50 chance of being hit.""}",2019-11-18 06:31:56.947691,
"{""subject"":""w6cp35yzq2f"",""condition"":""G9y"",""vignetteType"":""G"",""vignetteNumber"":9,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""32"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 04:33:59.324412,
"{""subject"":""3khf35yztnx"",""condition"":""L8y"",""vignetteType"":""L"",""vignetteNumber"":8,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""85"",""dummyYprob"":""15"",""vignetteConfidence"":""4"",""vignetteXprob"":""5"",""vignetteYprob"":""95"",""gender"":""female"",""age"":""46"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 03:56:32.461116,
"{""subject"":""vh0k35yzb6b"",""condition"":""L2y"",""vignetteType"":""L"",""vignetteNumber"":2,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""91"",""dummyYprob"":""9"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""39"",""postQuestion1"":""correct"",""postQuestion2"":""Its a 50/50 chance""}",2019-11-18 02:47:50.979075,
"{""subject"":""8lju35yzehn"",""condition"":""G6y"",""vignetteType"":""G"",""vignetteNumber"":6,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""87"",""dummyYprob"":""13"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""29"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 07:39:12.497243,
"{""subject"":""1ruw35yzm0e"",""condition"":""G11x"",""vignetteType"":""G"",""vignetteNumber"":11,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""53"",""postQuestion1"":""correct"",""postQuestion2"":""Given that it could be at either one with not bias given I figured there was a  50/50 chance.""}",2019-11-18 10:31:21.205437,
"{""subject"":""qwmr35yz9hk"",""condition"":""L3x"",""vignetteType"":""L"",""vignetteNumber"":3,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""87"",""dummyYprob"":""13"",""vignetteConfidence"":""2"",""vignetteXprob"":""25"",""vignetteYprob"":""75"",""gender"":""male"",""age"":""46"",""postQuestion1"":""correct"",""postQuestion2"":""It always seems less likely that the weirder thing will happen. Insects that destroy your house seems unusual.""}",2019-11-18 13:20:52.698186,
