subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
irh135yzky2,man,36,15,20to40k,3,86,14,1,L1,2,50,50,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,2,L2,2,55,45,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,3,L5,2,48,52,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,4,L11,2,67,33,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,5,G11,1,55,45,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,6,L10,1,34,66,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,7,G5,1,30,70,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,8,G1,2,49,51,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,9,G2,2,37,63,2021-12-13 21:26:51.293218
irh135yzky2,man,36,15,20to40k,3,86,14,10,G9,1,38,62,2021-12-13 21:26:51.293218
kh3x35yz7am,man,32,12,20to40k,4,85,15,1,L10,2,50,50,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,2,L5,2,50,50,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,3,G2,3,30,70,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,4,G9,4,50,50,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,5,L1,3,70,30,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,6,L11,2,45,55,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,7,G5,3,50,50,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,8,L2,3,70,30,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,9,G1,3,30,70,2021-12-13 22:13:17.058588
kh3x35yz7am,man,32,12,20to40k,4,85,15,10,G11,3,60,40,2021-12-13 22:13:17.058588
dd2e35yzhpg,man,64,19,<20k,3,85,15,1,G5,2,60,40,2021-12-13 21:44:36.056633
dd2e35yzhpg,man,64,19,<20k,3,85,15,2,G1,4,50,50,2021-12-13 21:44:36.056633
dd2e35yzhpg,man,64,19,<20k,3,85,15,3,L10,3,50,50,2021-12-13 21:44:36.056633
dd2e35yzhpg,man,64,19,<20k,3,85,15,4,L11,2,25,75,2021-12-13 21:44:36.056633
dd2e35yzhpg,man,64,19,<20k,3,85,15,5,G2,3,20,80,2021-12-13 21:44:36.056633
dd2e35yzhpg,man,64,19,<20k,3,85,15,6,G9,3,50,50,2021-12-13 21:44:36.056633
