subject,gender,age,education,income,dummyVignetteAnswer,trialn,vignette,response,resp_order,datetime
sqhh35yz3yb,woman,23,12,60to80k,2,1,L5,2,B,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,2,L1,4,A,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,3,L2,5,A,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,4,G9,2,B,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,5,L11,3,A,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,6,G11,4,B,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,7,G1,5,A,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,8,L10,6,A,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,9,G5,7,B,2021-11-20 10:57:32.439300
sqhh35yz3yb,woman,23,12,60to80k,2,10,G2,3,B,2021-11-20 10:57:32.439300
tidv35yzv5k,man,45,34,80to100k,1,1,G2,4,B,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,2,L11,4,B,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,3,G1,3,B,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,4,G11,6,B,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,5,L5,5,A,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,6,L10,7,A,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,7,L2,3,A,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,8,L1,3,B,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,9,G5,5,A,2021-11-20 10:50:12.238890
tidv35yzv5k,man,45,34,80to100k,1,10,G9,1,B,2021-11-20 10:50:12.238890
ute135yzlwf,other,56,12,40to60K,1,1,L10,4,A,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,2,G5,1,A,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,3,G1,2,A,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,4,G9,3,A,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,5,L2,4,B,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,6,L5,5,B,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,7,G11,6,A,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,8,L11,7,B,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,9,L1,1,B,2021-11-20 10:59:04.435898
ute135yzlwf,other,56,12,40to60K,1,10,G2,2,A,2021-11-20 10:59:04.435898
crlw35yzks5,woman,76,34,>100k,4,1,L5,4,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,2,L11,5,B,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,3,G2,6,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,4,L10,1,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,5,L1,2,B,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,6,G11,3,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,7,G9,4,B,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,8,G5,5,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,9,G1,6,A,2021-11-20 10:58:17.492692
crlw35yzks5,woman,76,34,>100k,4,10,L2,4,A,2021-11-20 10:58:17.492692
2qpy35yz09o,woman,34,12,40to60K,3,1,G1,5,B,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,2,L2,4,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,3,L10,3,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,4,L11,4,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,5,G5,6,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,6,G2,1,B,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,7,G9,3,B,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,8,L1,4,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,9,L5,5,A,2021-11-20 10:52:14.085836
2qpy35yz09o,woman,34,12,40to60K,3,10,G11,3,A,2021-11-20 10:52:14.085836
