content,date,exp
"{""subject"":""irh135yzky2"",""gender"":""man"",""age"":""36"",""education"":""15"",""income"":""20to40k"",""dummyconf"":""3"",""dummyxprob"":""86"",""dummyyprob"":""14"",""V1"":""L1"",""conf1"":""2"",""xprob1"":""50"",""yprob1"":""50"",""V2"":""L2"",""conf2"":""2"",""xprob2"":""55"",""yprob2"":""45"",""V3"":""L5"",""conf3"":""2"",""xprob3"":""48"",""yprob3"":""52"",""V4"":""L11"",""conf4"":""2"",""xprob4"":""67"",""yprob4"":""33"",""V5"":""G11"",""conf5"":""1"",""xprob5"":""55"",""yprob5"":""45"",""V6"":""L10"",""conf6"":""1"",""xprob6"":""34"",""yprob6"":""66"",""V7"":""G5"",""conf7"":""1"",""xprob7"":""30"",""yprob7"":""70"",""V8"":""G1"",""conf8"":""2"",""xprob8"":""49"",""yprob8"":""51"",""V9"":""G2"",""conf9"":""2"",""xprob9"":""37"",""yprob9"":""63"",""V10"":""G9"",""conf10"":""1"",""xprob10"":""38"",""yprob10"":""62""}",2021-12-13 21:26:51.293218,
"{""subject"":""kh3x35yz7am"",""gender"":""man"",""age"":""32"",""education"":""12"",""income"":""20to40k"",""dummyconf"":""4"",""dummyxprob"":""85"",""dummyyprob"":""15"",""V1"":""L10"",""conf1"":""2"",""xprob1"":""50"",""yprob1"":""50"",""V2"":""L5"",""conf2"":""2"",""xprob2"":""50"",""yprob2"":""50"",""V3"":""G2"",""conf3"":""3"",""xprob3"":""30"",""yprob3"":""70"",""V4"":""G9"",""conf4"":""4"",""xprob4"":""50"",""yprob4"":""50"",""V5"":""L1"",""conf5"":""3"",""xprob5"":""70"",""yprob5"":""30"",""V6"":""L11"",""conf6"":""2"",""xprob6"":""45"",""yprob6"":""55"",""V7"":""G5"",""conf7"":""3"",""xprob7"":""50"",""yprob7"":""50"",""V8"":""L2"",""conf8"":""3"",""xprob8"":""70"",""yprob8"":""30"",""V9"":""G1"",""conf9"":""3"",""xprob9"":""30"",""yprob9"":""70"",""V10"":""G11"",""conf10"":""3"",""xprob10"":""60"",""yprob10"":""40""}",2021-12-13 22:13:17.058588,
"{""subject"":""dd2e35yzhpg"",""gender"":""man"",""age"":""64"",""education"":""19"",""income"":""<20k"",""dummyconf"":""3"",""dummyxprob"":""85"",""dummyyprob"":""15"",""V1"":""G5"",""conf1"":""2"",""xprob1"":""60"",""yprob1"":""40"",""V2"":""G1"",""conf2"":""4"",""xprob2"":""50"",""yprob2"":""50"",""V3"":""L10"",""conf3"":""3"",""xprob3"":""50"",""yprob3"":""50"",""V4"":""L11"",""conf4"":""2"",""xprob4"":""25"",""yprob4"":""75"",""V5"":""G2"",""conf5"":""3"",""xprob5"":""20"",""yprob5"":""80"",""V6"":""G9"",""conf6"":""3"",""xprob6"":""50"",""yprob6"":""50"",""V7"":""G11"",""conf7"":""3"",""xprob7"":""50"",""yprob7"":""50"",""V8"":""L5"",""conf8"":""3"",""xprob8"":""50"",""yprob8"":""50"",""V9"":""L1"",""conf9"":""2"",""xprob9"":""1"",""yprob9"":""99"",""V10"":""L2"",""conf10"":""4"",""xprob10"":""2"",""yprob10"":""98""}",2021-12-13 21:44:36.056633,
"{""subject"":""8sle35yzcxf"",""gender"":""man"",""age"":""30"",""education"":""12"",""income"":""40to60K"",""dummyconf"":""3"",""dummyxprob"":""85"",""dummyyprob"":""15"",""V1"":""G2"",""conf1"":""2"",""xprob1"":""60"",""yprob1"":""40"",""V2"":""L1"",""conf2"":""2"",""xprob2"":""60"",""yprob2"":""40"",""V3"":""L5"",""conf3"":""1"",""xprob3"":""50"",""yprob3"":""50"",""V4"":""L10"",""conf4"":""2"",""xprob4"":""35"",""yprob4"":""65"",""V5"":""G11"",""conf5"":""3"",""xprob5"":""50"",""yprob5"":""50"",""V6"":""L11"",""conf6"":""2"",""xprob6"":""80"",""yprob6"":""20"",""V7"":""L2"",""conf7"":""1"",""xprob7"":""35"",""yprob7"":""65"",""V8"":""G1"",""conf8"":""2"",""xprob8"":""45"",""yprob8"":""55"",""V9"":""G9"",""conf9"":""1"",""xprob9"":""60"",""yprob9"":""40"",""V10"":""G5"",""conf10"":""2"",""xprob10"":""50"",""yprob10"":""50""}",2021-12-13 21:26:23.724952,
"{""subject"":""pgtn35yz0wx"",""gender"":""man"",""age"":""51"",""education"":""12"",""income"":""20to40k"",""dummyconf"":""4"",""dummyxprob"":""45"",""dummyyprob"":""55"",""V1"":""G2"",""conf1"":""3"",""xprob1"":""30"",""yprob1"":""70"",""V2"":""L11"",""conf2"":""3"",""xprob2"":""85"",""yprob2"":""15"",""V3"":""G5"",""conf3"":""2"",""xprob3"":""47"",""yprob3"":""53"",""V4"":""L10"",""conf4"":""3"",""xprob4"":""25"",""yprob4"":""75"",""V5"":""L1"",""conf5"":""3"",""xprob5"":""10"",""yprob5"":""90"",""V6"":""L2"",""conf6"":""3"",""xprob6"":""85"",""yprob6"":""15"",""V7"":""G9"",""conf7"":""3"",""xprob7"":""50"",""yprob7"":""50"",""V8"":""L5"",""conf8"":""2"",""xprob8"":""52"",""yprob8"":""48"",""V9"":""G11"",""conf9"":""3"",""xprob9"":""52"",""yprob9"":""48"",""V10"":""G1"",""conf10"":""3"",""xprob10"":""50"",""yprob10"":""50""}",2021-12-13 21:20:18.752733,
"{""subject"":""5lox35yzbqd"",""gender"":""man"",""age"":""50"",""education"":""17"",""income"":""20to40k"",""dummyconf"":""4"",""dummyxprob"":""100"",""dummyyprob"":""0"",""V1"":""L11"",""conf1"":""1"",""xprob1"":""0"",""yprob1"":""100"",""V2"":""L5"",""conf2"":""1"",""xprob2"":""100"",""yprob2"":""0"",""V3"":""L2"",""conf3"":""3"",""xprob3"":""0"",""yprob3"":""100"",""V4"":""G11"",""conf4"":""2"",""xprob4"":""100"",""yprob4"":""0"",""V5"":""L1"",""conf5"":""1"",""xprob5"":""100"",""yprob5"":""0"",""V6"":""G9"",""conf6"":""3"",""xprob6"":""100"",""yprob6"":""0"",""V7"":""L10"",""conf7"":""1"",""xprob7"":""0"",""yprob7"":""100"",""V8"":""G2"",""conf8"":""3"",""xprob8"":""100"",""yprob8"":""0"",""V9"":""G5"",""conf9"":""0"",""xprob9"":""100"",""yprob9"":""0"",""V10"":""G1"",""conf10"":""2"",""xprob10"":""100"",""yprob10"":""0""}",2021-12-13 21:20:48.877431,
"{""subject"":""o3tp35yzwkb"",""gender"":""woman"",""age"":""25"",""education"":""17"",""income"":"">100k"",""dummyconf"":""3"",""dummyxprob"":""95"",""dummyyprob"":""5"",""V1"":""L1"",""conf1"":""1"",""xprob1"":""50"",""yprob1"":""50"",""V2"":""G11"",""conf2"":""0"",""xprob2"":""50"",""yprob2"":""50"",""V3"":""L11"",""conf3"":""2"",""xprob3"":""75"",""yprob3"":""25"",""V4"":""L10"",""conf4"":""2"",""xprob4"":""20"",""yprob4"":""80"",""V5"":""L5"",""conf5"":""0"",""xprob5"":""50"",""yprob5"":""50"",""V6"":""L2"",""conf6"":""0"",""xprob6"":""30"",""yprob6"":""70"",""V7"":""G9"",""conf7"":""0"",""xprob7"":""50"",""yprob7"":""50"",""V8"":""G1"",""conf8"":""1"",""xprob8"":""40"",""yprob8"":""60"",""V9"":""G5"",""conf9"":""0"",""xprob9"":""50"",""yprob9"":""50"",""V10"":""G2"",""conf10"":""1"",""xprob10"":""15"",""yprob10"":""85""}",2021-12-13 21:08:27.969035,
"{""subject"":""7ff035yzptp"",""gender"":""woman"",""age"":""44"",""education"":""14"",""income"":""60to80k"",""dummyconf"":""3"",""dummyxprob"":""80"",""dummyyprob"":""20"",""V1"":""L10"",""conf1"":""0"",""xprob1"":""10"",""yprob1"":""90"",""V2"":""G5"",""conf2"":""2"",""xprob2"":""50"",""yprob2"":""50"",""V3"":""L1"",""conf3"":""1"",""xprob3"":""30"",""yprob3"":""70"",""V4"":""L2"",""conf4"":""1"",""xprob4"":""25"",""yprob4"":""75"",""V5"":""G9"",""conf5"":""2"",""xprob5"":""50"",""yprob5"":""50"",""V6"":""G11"",""conf6"":""3"",""xprob6"":""50"",""yprob6"":""50"",""V7"":""L5"",""conf7"":""1"",""xprob7"":""45"",""yprob7"":""55"",""V8"":""G1"",""conf8"":""1"",""xprob8"":""20"",""yprob8"":""80"",""V9"":""G2"",""conf9"":""2"",""xprob9"":""35"",""yprob9"":""65"",""V10"":""L11"",""conf10"":""1"",""xprob10"":""20"",""yprob10"":""80""}",2021-12-13 21:49:09.020429,
"{""subject"":""vloo35yzawg"",""gender"":""woman"",""age"":""42"",""education"":""12"",""income"":""<20k"",""dummyconf"":""4"",""dummyxprob"":""90"",""dummyyprob"":""10"",""V1"":""G9"",""conf1"":""3"",""xprob1"":""50"",""yprob1"":""50"",""V2"":""L5"",""conf2"":""1"",""xprob2"":""75"",""yprob2"":""25"",""V3"":""G11"",""conf3"":""2"",""xprob3"":""50"",""yprob3"":""50"",""V4"":""G2"",""conf4"":""4"",""xprob4"":""30"",""yprob4"":""70"",""V5"":""L1"",""conf5"":""4"",""xprob5"":""60"",""yprob5"":""40"",""V6"":""L11"",""conf6"":""3"",""xprob6"":""70"",""yprob6"":""30"",""V7"":""L10"",""conf7"":""2"",""xprob7"":""15"",""yprob7"":""85"",""V8"":""L2"",""conf8"":""1"",""xprob8"":""10"",""yprob8"":""90"",""V9"":""G1"",""conf9"":""4"",""xprob9"":""40"",""yprob9"":""60"",""V10"":""G5"",""conf10"":""1"",""xprob10"":""70"",""yprob10"":""30""}",2021-12-13 21:10:17.938588,
"{""subject"":""52oe35yzuhi"",""gender"":""woman"",""age"":""30"",""education"":""14"",""income"":""80to100k"",""dummyconf"":""4"",""dummyxprob"":""99"",""dummyyprob"":""1"",""V1"":""G2"",""conf1"":""3"",""xprob1"":""70"",""yprob1"":""30"",""V2"":""G1"",""conf2"":""4"",""xprob2"":""50"",""yprob2"":""50"",""V3"":""G5"",""conf3"":""1"",""xprob3"":""80"",""yprob3"":""20"",""V4"":""L10"",""conf4"":""4"",""xprob4"":""50"",""yprob4"":""50"",""V5"":""L11"",""conf5"":""3"",""xprob5"":""30"",""yprob5"":""70"",""V6"":""G11"",""conf6"":""4"",""xprob6"":""50"",""yprob6"":""50"",""V7"":""L2"",""conf7"":""3"",""xprob7"":""25"",""yprob7"":""75"",""V8"":""L5"",""conf8"":""2"",""xprob8"":""55"",""yprob8"":""45"",""V9"":""L1"",""conf9"":""4"",""xprob9"":""50"",""yprob9"":""50"",""V10"":""G9"",""conf10"":""1"",""xprob10"":""60"",""yprob10"":""40""}",2021-12-13 21:12:52.929461,
